"
                Шварцман уступил лишь партнерам по Ferrari на тестах в Абу-Даби            ";Россиянин показал во вторник на «Яс-Марине» третью скорость, лучшим стал Карлос Сайнс за рулем другой F1-75;/f1/news/shvartsman-ustupil-lish-partneram-po-ferrari-na-testakh-v-abu-dabi/10403788/
"
                Почему ждать в RBR лучше, чем гоняться в слабой команде? Риккардо ответил            ";Австралийский пилот рассказал, почему сделал непростой выбор и предпочел провести год без гонок;/f1/news/pochemu-zhdat-v-rbr-luchshe-chem-gonyatsya-v-slaboj-komande-rikkardo-otvetil/10403406/
"
                Шварцман и не только. Кто поедет на тестах Ф1 в Абу-Даби            ";Во вторник Формула 1 официально завершит сезон-2022. На трассе «Яс-Марина» в один день состоятся тесты новичков и испытания шин Purelli;/f1/news/shvartsman-i-ne-tolko-kto-poedet-na-testakh-f1-v-abu-dabi/10403353/
"
                Состав Формулы 1 в сезоне-2023: все пилоты и все команды            ";В конце ноября трансферный рынок Формулы 1 закрылся: стали известны все гонщики, который выйдут на старт в предстоящем чемпионате;/f1/news/sostav-formuly-1-v-sezone-2023-kontrakty-slukhi-i-predpolozheniya/10349081/
"
                Williams официально назвала Сарджента своим пилотом на 2023 год            ";Американец занял 20-ю и последнюю вакансию в пелотоне, гарантировав Суперлицензию по итогам сезона в Формуле 2 ;/f1/news/ryba-williams-ofitsialno-nazvala-sardzhenta-svoim-pilotom-na-2023-god/10402611/
"
                «Вновь ощутил желание». Хюлькенберг раскрыл детали возвращения в Ф1            ";С нового сезона немецкий пилот возобновит полноценную карьеру в Больших Призах, подписав контракт с командой Haas;/f1/news/vnov-oshchutil-zhelanie-khyulkenberg-raskryl-detali-vozvrashcheniya-v-f1/10403334/
"
                Ferrari обманула Red Bull в Абу-Даби ложным сообщением по радио            ";После частых тактических провалов по ходу сезона Скудерия показала, что смогла кое-чему научиться;/f1/news/ferrari-obmanula-red-bull-v-abu-dabi-lozhnym-soobshcheniem-po-radio/10403252/
"
                Вольф: Слабый сезон-2022 расстроил меньше, чем поражение в 2021-м            ";По словам руководителя Mercedes, проигранный Льюисом Хэмилтоном титул стал более серьезным разочарованием, чем всего одна победа за год;/f1/news/volf-slabyj-sezon-2022-rasstroil-menshe-chem-porazhenie-v-2021-m/10403219/
"
                «Не стану врать: я не в восторге». Сайнс подвел итоги сезона-22            ";Гонщик признал, что и для него самого, и для команды Ferrari прошедший чемпионат Ф1 мог бы получиться более успешным;/f1/news/ne-stanu-vrat-ya-ne-v-vostorge-sajns-podvel-itogi-sezona-22/10403167/
"
                В Alfa Romeo рассказали, как перехитрили Aston Martin в Абу-Даби            ";Даже уступая соперникам в скорости, швейцарская команда смогла спасти шестую строчку в Кубке конструкторов;/f1/news/v-alfa-romeo-rasskazali-kak-perekhitrili-aston-martin-v-abu-dabi/10403134/
"
                Ферстаппен обрадовался, что его не попросили придержать Леклера            ";Чемпион мира имел возможность помочь в Абу-Даби своему напарнику – однако команда не стала использовать этот прием;/f1/news/ferstappen-obradovalsya-chto-ego-ne-poprosili-priderzhat-leklera/10403128/
"
                Перес нашел виновного в поражении от Леклера. Это Макс            ";По мнению Серхио, его напарник ехал недостаточно быстро после первого пит-стопа, что и определило исход дуэли за вице-чемпионское звание;/f1/news/peres-nashel-vinovnogo-v-porazhenii-ot-leklera-eto-gasli/10403073/
"
                Шварцман уступил лишь партнерам по Ferrari на тестах в Абу-Даби            ";Россиянин показал во вторник на «Яс-Марине» третью скорость, лучшим стал Карлос Сайнс за рулем другой F1-75;/f1/news/shvartsman-ustupil-lish-partneram-po-ferrari-na-testakh-v-abu-dabi/10403788/
"
                Почему ждать в RBR лучше, чем гоняться в слабой команде? Риккардо ответил            ";Австралийский пилот рассказал, почему сделал непростой выбор и предпочел провести год без гонок;/f1/news/pochemu-zhdat-v-rbr-luchshe-chem-gonyatsya-v-slaboj-komande-rikkardo-otvetil/10403406/
"
                Шварцман и не только. Кто поедет на тестах Ф1 в Абу-Даби            ";Во вторник Формула 1 официально завершит сезон-2022. На трассе «Яс-Марина» в один день состоятся тесты новичков и испытания шин Purelli;/f1/news/shvartsman-i-ne-tolko-kto-poedet-na-testakh-f1-v-abu-dabi/10403353/
"
                Состав Формулы 1 в сезоне-2023: все пилоты и все команды            ";В конце ноября трансферный рынок Формулы 1 закрылся: стали известны все гонщики, который выйдут на старт в предстоящем чемпионате;/f1/news/sostav-formuly-1-v-sezone-2023-kontrakty-slukhi-i-predpolozheniya/10349081/
"
                Williams официально назвала Сарджента своим пилотом на 2023 год            ";Американец занял 20-ю и последнюю вакансию в пелотоне, гарантировав Суперлицензию по итогам сезона в Формуле 2 ;/f1/news/ryba-williams-ofitsialno-nazvala-sardzhenta-svoim-pilotom-na-2023-god/10402611/
"
                «Вновь ощутил желание». Хюлькенберг раскрыл детали возвращения в Ф1            ";С нового сезона немецкий пилот возобновит полноценную карьеру в Больших Призах, подписав контракт с командой Haas;/f1/news/vnov-oshchutil-zhelanie-khyulkenberg-raskryl-detali-vozvrashcheniya-v-f1/10403334/
"
                Ferrari обманула Red Bull в Абу-Даби ложным сообщением по радио            ";После частых тактических провалов по ходу сезона Скудерия показала, что смогла кое-чему научиться;/f1/news/ferrari-obmanula-red-bull-v-abu-dabi-lozhnym-soobshcheniem-po-radio/10403252/
"
                Вольф: Слабый сезон-2022 расстроил меньше, чем поражение в 2021-м            ";По словам руководителя Mercedes, проигранный Льюисом Хэмилтоном титул стал более серьезным разочарованием, чем всего одна победа за год;/f1/news/volf-slabyj-sezon-2022-rasstroil-menshe-chem-porazhenie-v-2021-m/10403219/
"
                «Не стану врать: я не в восторге». Сайнс подвел итоги сезона-22            ";Гонщик признал, что и для него самого, и для команды Ferrari прошедший чемпионат Ф1 мог бы получиться более успешным;/f1/news/ne-stanu-vrat-ya-ne-v-vostorge-sajns-podvel-itogi-sezona-22/10403167/
"
                В Alfa Romeo рассказали, как перехитрили Aston Martin в Абу-Даби            ";Даже уступая соперникам в скорости, швейцарская команда смогла спасти шестую строчку в Кубке конструкторов;/f1/news/v-alfa-romeo-rasskazali-kak-perekhitrili-aston-martin-v-abu-dabi/10403134/
"
                Ферстаппен обрадовался, что его не попросили придержать Леклера            ";Чемпион мира имел возможность помочь в Абу-Даби своему напарнику – однако команда не стала использовать этот прием;/f1/news/ferstappen-obradovalsya-chto-ego-ne-poprosili-priderzhat-leklera/10403128/
"
                Перес нашел виновного в поражении от Леклера. Это Макс            ";По мнению Серхио, его напарник ехал недостаточно быстро после первого пит-стопа, что и определило исход дуэли за вице-чемпионское звание;/f1/news/peres-nashel-vinovnogo-v-porazhenii-ot-leklera-eto-gasli/10403073/
